,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,2,-4,12,55,10,78,11:1:0,2018/03/01
aquitaine,13,9,24,87,10,74,11:9:0,2018/03/01
ardeche,4,2,12,98,5.375,96,11:9:0,2018/03/01
auvergne,12,4,19,89,8.875,47,11:7:0,2018/03/01
bourgogne,2,0,13,98,3.25,95,11:3:0,2018/03/01
bretagne,5,-1,35,96,8.25,100,11:3:0,2018/03/01
centre,6,1,23,93,10,100,11:2:0,2018/03/01
champagne-ardenne,2,-3,30,50,10,85,10:59:0,2018/03/01
corse,11,10,14,91,8.125,67,11:15:0,2018/03/01
franche-comte,4,1,15,91,8.875,75,11:4:0,2018/03/01
ile-de-re,13,6,29,94,9.875,95,11:6:0,2018/03/01
ile-de-france,3,-2,24,77,8.375,89,11:1:0,2018/03/01
languedoc-roussillon,9,6,31,93,8.75,100,11:12:0,2018/03/01
limousin,14,7,16,89,6,68,11:7:0,2018/03/01
lorraine,0,-5,31,44,8.75,78,11:0:0,2018/03/01
midi-pyrenees,15,11,50,83,9.375,54,11:12:0,2018/03/01
nord-pas-de-calais,2,-3,28,49,10,97,10:57:0,2018/03/01
normandie,2,-3,32,91,7.25,100,11:0:0,2018/03/01
pays-de-la-loire,10,3,27,94,7.875,98,11:4:0,2018/03/01
picardie,2,-3,30,57,10,97,10:59:0,2018/03/01
poitou-charentes,13,6,29,94,9.875,95,11:7:0,2018/03/01
rh-ne-alpes,7,1,14,98,4.875,81,11:8:0,2018/03/01
provence-alpes-c-te-d-azur,8,6,47,81,9.75,80,11:12:0,2018/03/01
alsace,0,-2,8,71,9,71,11:5:0,2018/03/02
aquitaine,12,9,24,59,9.375,49,11:12:0,2018/03/02
ardeche,9,3,7,90,7.25,60,11:12:0,2018/03/02
auvergne,6,1,22,87,9.875,61,11:10:0,2018/03/02
bourgogne,6,1,16,98,6.5,63,11:7:0,2018/03/02
bretagne,7,4,33,87,10,71,11:6:0,2018/03/02
centre,8,5,24,84,10,63,11:6:0,2018/03/02
champagne-ardenne,4,0,28,83,10,81,11:3:0,2018/03/02
corse,9,8,46,82,9.375,33,11:17:0,2018/03/02
franche-comte,4,1,18,97,9.875,63,11:7:0,2018/03/02
ile-de-re,10,7,42,74,9.875,53,11:10:0,2018/03/02
ile-de-france,8,2,18,91,9.75,64,11:4:0,2018/03/02
languedoc-roussillon,12,9,33,67,10,54,11:16:0,2018/03/02
limousin,9,4,20,88,9.625,73,11:11:0,2018/03/02
lorraine,-2,-5,17,96,6.25,98,11:4:0,2018/03/02
midi-pyrenees,11,8,26,60,8.875,49,11:14:0,2018/03/02
nord-pas-de-calais,0,0,24,88,9,94,11:1:0,2018/03/02
normandie,7,4,32,94,8.875,73,11:4:0,2018/03/02
pays-de-la-loire,8,6,39,82,9.875,63,11:8:0,2018/03/02
picardie,2,-1,26,92,9,91,11:3:0,2018/03/02
poitou-charentes,10,8,42,66,9.875,53,11:10:0,2018/03/02
rh-ne-alpes,9,4,12,92,7.625,64,11:11:0,2018/03/02
provence-alpes-c-te-d-azur,12,9,36,60,9.375,50,11:14:0,2018/03/02
alsace,5,1,6,80,10,59,11:8:0,2018/03/03
aquitaine,16,12,21,67,10,36,11:15:0,2018/03/03
ardeche,12,7,12,82,9.75,45,11:16:0,2018/03/03
auvergne,9,4,22,89,9.5,53,11:14:0,2018/03/03
bourgogne,7,3,17,94,7.875,62,11:10:0,2018/03/03
bretagne,12,7,33,90,9,60,11:9:0,2018/03/03
centre,12,5,25,92,10,61,11:9:0,2018/03/03
champagne-ardenne,6,2,18,84,8.875,37,11:7:0,2018/03/03
corse,11,10,28,94,7.875,62,11:20:0,2018/03/03
franche-comte,4,3,13,95,8.75,60,11:11:0,2018/03/03
ile-de-re,12,9,36,79,10,28,11:13:0,2018/03/03
ile-de-france,10,4,15,87,10,62,11:8:0,2018/03/03
languedoc-roussillon,14,10,21,74,10,37,11:18:0,2018/03/03
limousin,11,6,16,95,6.75,65,11:13:0,2018/03/03
lorraine,3,-1,14,93,4.25,80,11:7:0,2018/03/03
midi-pyrenees,16,10,18,76,9.25,35,11:17:0,2018/03/03
nord-pas-de-calais,6,2,15,78,10,35,11:5:0,2018/03/03
normandie,11,5,30,87,9.125,70,11:7:0,2018/03/03
pays-de-la-loire,12,10,35,83,9.875,35,11:11:0,2018/03/03
picardie,6,2,20,95,10,35,11:6:0,2018/03/03
poitou-charentes,12,11,36,79,10,28,11:12:0,2018/03/03
rh-ne-alpes,11,3,8,91,9.375,60,11:14:0,2018/03/03
provence-alpes-c-te-d-azur,14,11,31,88,9.25,42,11:18:0,2018/03/03
alsace,9,5,5,85,9.875,53,11:12:0,2018/03/04
aquitaine,13,9,18,91,9.75,59,11:19:0,2018/03/04
ardeche,9,7,15,98,8.25,64,11:19:0,2018/03/04
auvergne,10,4,19,91,9.875,64,11:17:0,2018/03/04
bourgogne,10,4,17,90,6,54,11:14:0,2018/03/04
bretagne,11,7,26,91,9.875,34,11:12:0,2018/03/04
centre,10,6,19,97,8.625,51,11:13:0,2018/03/04
champagne-ardenne,8,5,19,88,8,54,11:10:0,2018/03/04
corse,9,8,8,88,8.875,78,11:22:0,2018/03/04
franche-comte,12,7,11,72,7.375,45,11:14:0,2018/03/04
ile-de-re,11,9,29,92,8.25,64,11:16:0,2018/03/04
ile-de-france,7,5,17,91,9.75,59,11:11:0,2018/03/04
languedoc-roussillon,12,11,29,92,9.625,60,11:21:0,2018/03/04
limousin,9,5,15,96,6,84,11:16:0,2018/03/04
lorraine,7,4,18,89,6.75,70,11:11:0,2018/03/04
midi-pyrenees,10,8,8,91,7.375,60,11:20:0,2018/03/04
nord-pas-de-calais,7,5,18,90,8.875,62,11:8:0,2018/03/04
normandie,10,7,20,89,9.375,44,11:11:0,2018/03/04
pays-de-la-loire,11,9,28,88,9.75,54,11:15:0,2018/03/04
picardie,7,4,19,96,7.875,61,11:10:0,2018/03/04
poitou-charentes,11,9,29,92,8.25,64,11:16:0,2018/03/04
rh-ne-alpes,13,7,29,96,8.25,54,11:18:0,2018/03/04
provence-alpes-c-te-d-azur,12,10,26,80,8.25,49,11:21:0,2018/03/04
alsace,12,6,8,78,10,15,11:16:0,2018/03/05
aquitaine,14,9,14,77,10,45,11:21:0,2018/03/05
ardeche,9,6,10,92,5.125,87,11:21:0,2018/03/05
auvergne,11,5,13,84,7.875,46,11:19:0,2018/03/05
bourgogne,11,6,10,82,7,32,11:17:0,2018/03/05
bretagne,12,7,30,92,9,66,11:16:0,2018/03/05
centre,11,7,14,79,8,67,11:17:0,2018/03/05
champagne-ardenne,12,6,18,87,7,57,11:14:0,2018/03/05
corse,9,7,10,89,8.75,70,11:26:0,2018/03/05
franche-comte,12,7,7,82,10,26,11:18:0,2018/03/05
ile-de-re,12,9,27,87,10,46,11:19:0,2018/03/05
ile-de-france,12,6,14,83,7.75,74,11:15:0,2018/03/05
languedoc-roussillon,11,10,28,88,10,97,11:24:0,2018/03/05
limousin,11,7,14,95,5.75,71,11:20:0,2018/03/05
lorraine,10,5,17,90,7.75,50,11:14:0,2018/03/05
midi-pyrenees,11,9,12,78,9,77,11:23:0,2018/03/05
nord-pas-de-calais,11,5,18,90,10,71,11:12:0,2018/03/05
normandie,10,7,27,86,10,61,11:15:0,2018/03/05
pays-de-la-loire,12,9,29,87,9.375,51,11:18:0,2018/03/05
picardie,11,5,19,92,9,66,11:14:0,2018/03/05
poitou-charentes,12,9,27,80,10,46,11:19:0,2018/03/05
rh-ne-alpes,12,7,13,87,6.375,74,11:21:0,2018/03/05
provence-alpes-c-te-d-azur,11,10,28,79,9.75,75,11:23:0,2018/03/05
alsace,10,7,8,76,9.875,52,11:19:0,2018/03/06
aquitaine,12,10,33,74,10,37,11:24:0,2018/03/06
ardeche,11,6,5,82,8.125,71,11:25:0,2018/03/06
auvergne,9,4,13,83,7.75,56,11:23:0,2018/03/06
bourgogne,10,7,12,89,8,54,11:21:0,2018/03/06
bretagne,10,6,19,95,5.875,62,11:19:0,2018/03/06
centre,11,7,19,84,6.75,65,11:20:0,2018/03/06
champagne-ardenne,11,7,12,86,10,53,11:17:0,2018/03/06
corse,10,9,19,85,9.75,49,11:29:0,2018/03/06
franche-comte,8,6,10,94,8,78,11:21:0,2018/03/06
ile-de-re,10,8,37,83,9.875,60,11:23:0,2018/03/06
ile-de-france,11,6,13,83,7.5,63,11:19:0,2018/03/06
languedoc-roussillon,13,11,19,73,9.375,49,11:27:0,2018/03/06
limousin,8,5,15,94,5.125,97,11:23:0,2018/03/06
lorraine,10,7,11,83,10,62,11:18:0,2018/03/06
midi-pyrenees,13,8,24,74,9.875,50,11:26:0,2018/03/06
nord-pas-de-calais,11,7,15,85,9,40,11:16:0,2018/03/06
normandie,10,6,17,89,9.25,60,11:18:0,2018/03/06
pays-de-la-loire,10,7,25,93,7.875,65,11:22:0,2018/03/06
picardie,10,5,17,88,7.875,37,11:17:0,2018/03/06
poitou-charentes,10,9,37,83,9.875,60,11:23:0,2018/03/06
rh-ne-alpes,11,6,7,85,7.75,56,11:24:0,2018/03/06
provence-alpes-c-te-d-azur,13,9,21,78,9.375,48,11:26:0,2018/03/06
alsace,9,7,23,69,9.875,47,11:23:0,2018/03/07
aquitaine,12,10,24,69,9.75,29,11:28:0,2018/03/07
ardeche,10,5,14,66,9.875,40,11:28:0,2018/03/07
auvergne,7,3,22,82,10,51,11:26:0,2018/03/07
bourgogne,9,6,25,75,9.875,44,11:24:0,2018/03/07
bretagne,10,6,24,86,8.875,34,11:23:0,2018/03/07
centre,10,6,23,85,9.75,62,11:24:0,2018/03/07
champagne-ardenne,9,5,27,89,9.625,68,11:21:0,2018/03/07
corse,10,9,22,73,9.75,27,11:31:0,2018/03/07
franche-comte,8,5,24,79,8,50,11:24:0,2018/03/07
ile-de-re,11,9,28,79,9.875,37,11:26:0,2018/03/07
ile-de-france,10,6,23,81,9.75,68,11:22:0,2018/03/07
languedoc-roussillon,12,9,25,65,10,37,11:30:0,2018/03/07
limousin,8,4,14,95,5.375,70,11:27:0,2018/03/07
lorraine,6,5,29,83,6,69,11:22:0,2018/03/07
midi-pyrenees,11,7,31,78,9.875,45,11:29:0,2018/03/07
nord-pas-de-calais,8,5,26,92,7.875,64,11:20:0,2018/03/07
normandie,9,7,25,82,9.75,49,11:22:0,2018/03/07
pays-de-la-loire,11,8,26,83,10,29,11:24:0,2018/03/07
picardie,9,3,28,90,6.75,59,11:21:0,2018/03/07
poitou-charentes,11,9,28,79,9.875,37,11:26:0,2018/03/07
rh-ne-alpes,10,5,15,78,9.75,40,11:27:0,2018/03/07
provence-alpes-c-te-d-azur,12,10,36,56,10,13,11:30:0,2018/03/07
alsace,12,7,21,69,10,26,11:26:0,2018/03/08
aquitaine,16,10,18,58,10,25,11:31:0,2018/03/08
ardeche,11,7,19,82,10,20,11:31:0,2018/03/08
auvergne,12,6,13,64,9,20,11:30:0,2018/03/08
bourgogne,12,6,22,76,8,23,11:28:0,2018/03/08
bretagne,8,7,26,93,9.875,77,11:26:0,2018/03/08
centre,13,7,26,77,10,40,11:27:0,2018/03/08
champagne-ardenne,9,6,32,82,8.625,64,11:25:0,2018/03/08
corse,11,9,8,58,10,33,11:34:0,2018/03/08
franche-comte,11,6,22,74,10,33,11:28:0,2018/03/08
ile-de-re,12,8,25,80,10,29,11:29:0,2018/03/08
ile-de-france,9,7,29,83,8.625,73,11:26:0,2018/03/08
languedoc-roussillon,12,9,27,86,10,17,11:33:0,2018/03/08
limousin,13,6,14,78,6.5,48,11:30:0,2018/03/08
lorraine,10,6,29,82,9.875,59,11:25:0,2018/03/08
midi-pyrenees,15,8,20,74,10,20,11:33:0,2018/03/08
nord-pas-de-calais,9,6,37,80,9.375,41,11:24:0,2018/03/08
normandie,9,7,30,88,9.625,42,11:25:0,2018/03/08
pays-de-la-loire,13,9,23,87,9.75,53,11:28:0,2018/03/08
picardie,9,3,38,92,10,46,11:25:0,2018/03/08
poitou-charentes,12,8,25,78,10,29,11:30:0,2018/03/08
rh-ne-alpes,12,7,27,69,10,16,11:30:0,2018/03/08
provence-alpes-c-te-d-azur,13,10,18,56,10,19,11:33:0,2018/03/08
alsace,14,8,9,85,9.875,83,11:30:0,2018/03/09
aquitaine,18,13,22,67,10,54,11:34:0,2018/03/09
ardeche,10,8,17,92,8.375,63,11:34:0,2018/03/09
auvergne,15,9,19,76,9.25,56,11:33:0,2018/03/09
bourgogne,14,9,22,80,10,53,11:31:0,2018/03/09
bretagne,14,10,25,92,9,81,11:30:0,2018/03/09
centre,15,8,18,87,8,94,11:31:0,2018/03/09
champagne-ardenne,10,7,17,93,8,88,11:29:0,2018/03/09
corse,13,12,12,67,10,12,11:37:0,2018/03/09
franche-comte,14,10,20,68,10,52,11:31:0,2018/03/09
ile-de-re,14,11,35,85,9.375,59,11:33:0,2018/03/09
ile-de-france,14,7,18,91,8,86,11:29:0,2018/03/09
languedoc-roussillon,12,11,25,92,9,84,11:35:0,2018/03/09
limousin,16,11,19,79,10,69,11:32:0,2018/03/09
lorraine,9,7,13,91,9.625,85,11:29:0,2018/03/09
midi-pyrenees,15,11,30,79,9,39,11:35:0,2018/03/09
nord-pas-de-calais,10,6,17,87,8.25,86,11:28:0,2018/03/09
normandie,13,9,19,91,8.875,91,11:29:0,2018/03/09
pays-de-la-loire,14,11,27,90,9,66,11:31:0,2018/03/09
picardie,11,6,19,94,8.25,80,11:29:0,2018/03/09
poitou-charentes,14,11,35,85,9.375,59,11:33:0,2018/03/09
rh-ne-alpes,14,10,30,77,10,54,11:33:0,2018/03/09
provence-alpes-c-te-d-azur,14,12,24,71,10,36,11:35:0,2018/03/09
alsace,12,10,15,81,8.875,61,11:33:0,2018/03/10
aquitaine,19,16,20,76,10,54,11:37:0,2018/03/10
ardeche,12,8,11,92,9.625,91,11:37:0,2018/03/10
auvergne,16,11,21,78,9.5,54,11:36:0,2018/03/10
bourgogne,16,9,27,92,8.625,56,11:35:0,2018/03/10
bretagne,15,11,24,92,10,64,11:34:0,2018/03/10
centre,17,12,19,90,9.25,92,11:34:0,2018/03/10
champagne-ardenne,14,11,19,90,10,77,11:33:0,2018/03/10
corse,15,13,10,69,10,16,11:39:0,2018/03/10
franche-comte,15,8,18,93,9.875,60,11:35:0,2018/03/10
ile-de-re,14,12,29,85,9.875,62,11:36:0,2018/03/10
ile-de-france,15,11,16,92,9.5,81,11:33:0,2018/03/10
languedoc-roussillon,13,12,39,95,9.25,90,11:39:0,2018/03/10
limousin,16,11,18,97,7,86,11:36:0,2018/03/10
lorraine,10,9,21,90,9.875,75,11:32:0,2018/03/10
midi-pyrenees,18,13,23,83,9.625,50,11:38:0,2018/03/10
nord-pas-de-calais,12,11,23,87,9,69,11:31:0,2018/03/10
normandie,15,12,25,90,9,63,11:33:0,2018/03/10
pays-de-la-loire,15,13,25,87,9,59,11:34:0,2018/03/10
picardie,14,11,23,92,10,76,11:33:0,2018/03/10
poitou-charentes,14,13,29,83,9.875,62,11:35:0,2018/03/10
rh-ne-alpes,16,11,33,79,9.75,52,11:37:0,2018/03/10
provence-alpes-c-te-d-azur,15,13,34,87,9,61,11:38:0,2018/03/10
alsace,11,10,14,83,9,74,11:37:0,2018/03/11
aquitaine,17,14,31,59,10,25,11:40:0,2018/03/11
ardeche,13,9,18,92,9.375,74,11:40:0,2018/03/11
auvergne,14,8,13,83,8.75,54,11:40:0,2018/03/11
bourgogne,14,10,17,92,7.625,77,11:38:0,2018/03/11
bretagne,12,10,32,88,10,78,11:37:0,2018/03/11
centre,16,13,24,76,6.75,58,11:38:0,2018/03/11
champagne-ardenne,16,12,16,91,6.75,58,11:36:0,2018/03/11
corse,12,11,19,93,9,61,11:43:0,2018/03/11
franche-comte,12,10,11,87,9.5,75,11:38:0,2018/03/11
ile-de-re,13,11,42,77,10,36,11:40:0,2018/03/11
ile-de-france,17,13,19,84,7.25,63,11:36:0,2018/03/11
languedoc-roussillon,13,12,26,95,10,59,11:42:0,2018/03/11
limousin,14,8,17,90,6.5,56,11:39:0,2018/03/11
lorraine,12,9,21,92,9.625,80,11:37:0,2018/03/11
midi-pyrenees,18,12,18,69,10,23,11:41:0,2018/03/11
nord-pas-de-calais,16,12,19,86,7.25,54,11:35:0,2018/03/11
normandie,13,11,27,85,10,59,11:36:0,2018/03/11
pays-de-la-loire,13,12,35,83,10,65,11:38:0,2018/03/11
picardie,16,11,21,88,7.375,59,11:36:0,2018/03/11
poitou-charentes,13,12,42,74,10,36,11:39:0,2018/03/11
rh-ne-alpes,15,10,25,80,8.375,44,11:40:0,2018/03/11
provence-alpes-c-te-d-azur,15,13,31,92,10,49,11:42:0,2018/03/11
alsace,13,11,26,76,9.875,60,11:40:0,2018/03/12
aquitaine,12,11,34,82,9.875,56,11:43:0,2018/03/12
ardeche,12,7,15,80,10,57,11:43:0,2018/03/12
auvergne,9,5,27,82,10,56,11:43:0,2018/03/12
bourgogne,12,10,24,79,8,71,11:42:0,2018/03/12
bretagne,11,8,36,88,9.75,97,11:41:0,2018/03/12
centre,12,10,32,78,9,88,11:41:0,2018/03/12
champagne-ardenne,12,10,31,82,10,63,11:40:0,2018/03/12
corse,11,9,19,89,9.625,38,11:46:0,2018/03/12
franche-comte,11,9,27,82,8.625,83,11:42:0,2018/03/12
ile-de-re,11,9,41,85,10,52,11:42:0,2018/03/12
ile-de-france,12,10,29,75,10,73,11:40:0,2018/03/12
languedoc-roussillon,14,12,35,70,10,24,11:45:0,2018/03/12
limousin,8,5,20,95,8,85,11:43:0,2018/03/12
lorraine,11,10,32,82,8.875,84,11:40:0,2018/03/12
midi-pyrenees,12,9,40,74,9.375,46,11:45:0,2018/03/12
nord-pas-de-calais,11,10,33,82,10,75,11:39:0,2018/03/12
normandie,10,9,39,88,7,94,11:40:0,2018/03/12
pays-de-la-loire,11,10,40,86,9,81,11:41:0,2018/03/12
picardie,11,8,34,86,8.875,79,11:40:0,2018/03/12
poitou-charentes,11,10,41,85,10,52,11:42:0,2018/03/12
rh-ne-alpes,13,8,18,79,8.25,72,11:44:0,2018/03/12
provence-alpes-c-te-d-azur,15,13,35,65,9.625,32,11:45:0,2018/03/12
alsace,9,8,26,78,7,83,11:44:0,2018/03/13
aquitaine,14,11,12,73,9.875,25,11:47:0,2018/03/13
ardeche,11,7,9,78,10,32,11:47:0,2018/03/13
auvergne,9,3,20,81,10,48,11:46:0,2018/03/13
bourgogne,9,7,23,89,8.75,93,11:45:0,2018/03/13
bretagne,11,8,15,83,9,39,11:44:0,2018/03/13
centre,11,8,19,86,9.75,67,11:45:0,2018/03/13
champagne-ardenne,9,7,24,86,9,80,11:44:0,2018/03/13
corse,11,9,26,67,10,20,11:49:0,2018/03/13
franche-comte,7,5,23,93,7.25,100,11:45:0,2018/03/13
ile-de-re,12,9,14,83,10,14,11:45:0,2018/03/13
ile-de-france,12,9,21,75,9,81,11:43:0,2018/03/13
languedoc-roussillon,14,11,22,62,10,15,11:47:0,2018/03/13
limousin,10,5,9,92,5.625,52,11:46:0,2018/03/13
lorraine,7,3,26,89,6.875,91,11:44:0,2018/03/13
midi-pyrenees,13,9,6,70,10,41,11:48:0,2018/03/13
nord-pas-de-calais,9,6,20,86,9,75,11:43:0,2018/03/13
normandie,10,9,22,87,10,60,11:43:0,2018/03/13
pays-de-la-loire,12,9,14,78,10,26,11:45:0,2018/03/13
picardie,10,5,21,90,9,71,11:44:0,2018/03/13
poitou-charentes,12,10,14,75,10,14,11:46:0,2018/03/13
rh-ne-alpes,10,6,8,85,9.75,62,11:46:0,2018/03/13
provence-alpes-c-te-d-azur,14,11,30,56,10,19,11:47:0,2018/03/13
alsace,12,8,10,75,9,18,11:47:0,2018/03/14
aquitaine,17,11,26,64,10,45,11:50:0,2018/03/14
ardeche,12,8,18,73,9.375,23,11:50:0,2018/03/14
auvergne,15,7,14,66,10,14,11:49:0,2018/03/14
bourgogne,13,7,13,80,10,19,11:49:0,2018/03/14
bretagne,14,8,34,83,9.625,70,11:48:0,2018/03/14
centre,14,8,23,72,10,31,11:48:0,2018/03/14
champagne-ardenne,12,7,21,81,10,53,11:47:0,2018/03/14
corse,12,10,10,66,10,13,11:51:0,2018/03/14
franche-comte,13,8,10,80,7.875,26,11:49:0,2018/03/14
ile-de-re,14,9,40,80,9.625,57,11:49:0,2018/03/14
ile-de-france,13,8,24,71,10,33,11:47:0,2018/03/14
languedoc-roussillon,13,11,27,86,9,31,11:51:0,2018/03/14
limousin,15,9,15,68,7.125,42,11:49:0,2018/03/14
lorraine,11,7,16,84,9,33,11:48:0,2018/03/14
midi-pyrenees,15,11,29,74,9.375,33,11:50:0,2018/03/14
nord-pas-de-calais,12,7,25,81,10,36,11:47:0,2018/03/14
normandie,12,9,33,77,9,49,11:47:0,2018/03/14
pays-de-la-loire,14,9,33,82,9.375,68,11:48:0,2018/03/14
picardie,12,8,29,76,9,31,11:47:0,2018/03/14
poitou-charentes,14,9,35,79,9.625,57,11:49:0,2018/03/14
rh-ne-alpes,13,7,19,76,10,14,11:49:0,2018/03/14
provence-alpes-c-te-d-azur,14,11,20,52,10,18,11:50:0,2018/03/14
alsace,9,7,9,65,10,76,11:51:0,2018/03/15
aquitaine,15,11,24,73,9.25,46,11:53:0,2018/03/15
ardeche,8,5,21,92,9,69,11:53:0,2018/03/15
auvergne,10,5,15,90,7.375,86,11:52:0,2018/03/15
bourgogne,7,4,19,94,8.25,75,11:52:0,2018/03/15
bretagne,12,9,30,92,8.25,61,11:52:0,2018/03/15
centre,12,9,16,92,8.625,91,11:52:0,2018/03/15
champagne-ardenne,8,7,17,92,9.875,73,11:51:0,2018/03/15
corse,13,10,21,89,9.875,77,11:54:0,2018/03/15
franche-comte,6,5,15,93,8.25,71,11:52:0,2018/03/15
ile-de-re,12,9,36,91,10,48,11:52:0,2018/03/15
ile-de-france,13,9,16,88,9.875,75,11:52:0,2018/03/15
languedoc-roussillon,15,12,29,88,9.625,56,11:54:0,2018/03/15
limousin,10,7,14,96,6.375,84,11:53:0,2018/03/15
lorraine,8,6,16,84,7.625,74,11:51:0,2018/03/15
midi-pyrenees,16,12,18,77,9.75,29,11:53:0,2018/03/15
nord-pas-de-calais,10,7,18,87,10,72,11:51:0,2018/03/15
normandie,12,9,27,89,9.125,57,11:52:0,2018/03/15
pays-de-la-loire,12,10,35,88,10,46,11:52:0,2018/03/15
picardie,11,7,18,91,9.875,73,11:51:0,2018/03/15
poitou-charentes,12,9,36,91,10,48,11:52:0,2018/03/15
rh-ne-alpes,9,4,14,90,9.75,67,11:53:0,2018/03/15
provence-alpes-c-te-d-azur,14,13,34,92,9,60,11:53:0,2018/03/15
alsace,12,8,11,77,10,67,11:55:0,2018/03/16
aquitaine,13,11,14,75,9.5,39,11:57:0,2018/03/16
ardeche,13,8,7,78,9.875,58,11:57:0,2018/03/16
auvergne,9,5,11,87,8.875,82,11:56:0,2018/03/16
bourgogne,12,9,10,83,6,64,11:55:0,2018/03/16
bretagne,11,7,22,86,10,67,11:56:0,2018/03/16
centre,12,9,13,83,8.75,76,11:55:0,2018/03/16
champagne-ardenne,11,8,13,85,8.875,81,11:54:0,2018/03/16
